name,ring,quadrant,isNew,description,,,,,,,,,,,,,,,
Lightweight Architecture Decision Records,kullan,teknikler,FALSE,"Much documentation can be replaced with highly readable code and tests. In a world of <a href=""/radar/teknikler/evolutionary-architecture"">evolutionary architecture</a>, however, it's important to record certain design decisions for the benefit of future team members as well as for external oversight. <strong>Lightweight Architecture Decision Records</strong> is a <a href=""http://thinkrelevance.com/blog/2011/11/15/documenting-architecture-decisions"">technique</a> for capturing important architectural decisions along with their context and consequences. We recommend <a href=""http://github.com/npryce/adr-araçlar"">storing these details in source control</a>, instead of a wiki or website, as then they can provide a record that remains in sync with the code itself. For most projects, we see no reason why you wouldn't want to use this technique.",,,,,,,,,,,,,,,
Applying product management to internal platformlar,deneyimle,teknikler,FALSE,We've seen a steep increase in interest in the topic of digital platformlar over the past 12 months. Companies looking to roll out new digital solutions quickly and efficiently are building internal platformlar, which offer teams self-service access to the business APIs, araçlar, knowledge and support necessary to build and operate their own solutions. We find that these platformlar are most effective when they're given the same respect as an external product offering. <strong>Applying product management to internal platformlar</strong> means establishing empathy with internal consumers (read: developers) and collaborating with them on the design. Platform product managers establish roadmaps and ensure the platform delivers value to the business and enhances the developer experience. Some owners even create a brand identity for the internal platform and use that to market the benefits to their colleagues. Platform product managers look after the quality of the platform, gather usage metrics, and continuously improve it over time. Treating the platform as a product helps to create a thriving ecosystem and avoids the pitfall of building yet another stagnant, underutilized service-oriented architecture.,,,,,,,,,
Architectural fitness function,deneyimle,teknikler,FALSE,"Borrowed from evolutionary computing, a fitness function is used to summarize how close a given design solution is to achieving the set aims. When defining an evolutionary algorithm, the designer seeks a ‘better’ algorithm, the fitness function defines what ‘better’ means in this context. An <strong>architectural fitness function</strong>, as defined in <a href=""http://www.thoughtworks.com/books/building-evolutionary-architectures"">Building Evolutionary Architectures</a>, provides an objective integrity değerlendirment of some architectural characteristics, which may encompass existing verification criteria, such as unit testing, metrics, monitors, and so on. We believe architects can communicate, validate and preserve architectural characteristics in an automated, continual manner, which is the key to building evolutionary architectures.",,,,,,,,,,,,,,,
Autonomous bubble pattern,deneyimle,teknikler,FALSE,"Many organizations we work with are trying hard to use modern engineering approaches to build new capabilities and features, while also having to coexist with a long tail of legacy systems. An old strategy that, based on our experience, has turned out to be increasingly helpful in these scenarios is <a href=""http://dddcommunity.org/strategic-design/"">Eric Evans's</a> <strong>Autonomous bubble pattern</strong>. This approach involves creating a fresh context for new application development that is shielded from the entanglements of the legacy world. This is a step beyond just using an <a href=""http://wiki.c2.com/?AnticorruptionLayer"">anticorruption layer</a>. It gives the new bubble context full control over its backing data, which is then asynchronously kept up-to-date with the legacy systems. It requires some work to protect the boundaries of the bubble and keep both worlds consistent, but the resulting autonomy and reduction in development friction is a first bold step toward a modernized future architecture.",,,,,,,,,,,,,,,
Chaos Engineering,deneyimle,teknikler,FALSE,"In previous editions of the Radar, we've talked about using <a href=""/radar/araçlar/chaos-monkey"">Chaos Monkey</a> from Netflix to test how a running system is able to cope with outages in production by randomly disabling instances and measuring the results. <strong>Chaos Engineering</strong> is the nascent term for the wider application of this technique. By running experiments on distributed systems in production, we're able to build confidence that those systems work as expected under turbulent conditions. A good place to start understanding this technique is the <a href=""http://principlesofchaos.org/"">Principles of Chaos Engineering</a> website.",,,,,,,,,,,,,,,
Domain-scoped events,deneyimle,teknikler,TRUE,"In previous editions of the Radar, we've talked about using <a href=""/radar/araçlar/chaos-monkey"">Chaos Monkey</a> from Netflix to test how a running system is able to cope with outages in production by randomly disabling instances and measuring the results. <strong>Chaos Engineering</strong> is the nascent term for the wider application of this technique. By running experiments on distributed systems in production, we're able to build confidence that those systems work as expected under turbulent conditions. A good place to start understanding this technique is the <a href=""http://principlesofchaos.org/"">Principles of Chaos Engineering</a> website.",,,,,,,,,,,,,,,
Hosted identity management as a service,deneyimle,teknikler,TRUE,"Identity management is a critical platform component. External users on mobile apps need to be authenticated, developers need to be given access to delivery infrastructure components, and microservices may need to identify themselves to other microservices. You should ask yourself whether identity management should be “self-hosted”. In our experience, a <strong>hosted identity management as a service</strong> (SaaS) solution is preferable. We believe that top-tier hosted providers such as <a href=""/radar/platformlar/auth0"">Auth0</a> and <a href=""http://www.okta.com/"">Okta</a> can provide better uptime and security SLAs. That said, sometimes self-hosting the solution is a realistic decision, especially for enterprises that have the operational discipline and resources to do so safely. Large enterprise identity solutions typically offer a much more expansive range of capabilities such as centralized entitlements, governance reporting and separation of duties management among others. However, these concerns are typically more relevant for employee identities, especially in regulated enterprises with legacy systems.",,,,,,,,,,,,,,,
Micro frontends,deneyimle,teknikler,FALSE,"We've seen significant benefits from introducing <a href=""/radar/teknikler/microservices"">microservices</a> architectures, which have allowed teams to scale the delivery of independently deployed and maintained services. Unfortunately, we've also seen many teams create front-end monoliths — a single, large and sprawling browser application — on top of their back-end services. Our preferred (and proven) approach is to split the browser-based code into <strong>micro frontends</strong>. In this approach, the web application is broken down into its features, and each feature is owned, frontend to backend, by a different team. This ensures that every feature is developed, tested and deployed independently from other features. Multiple teknikler exist to recombine the features — sometimes as pages, sometimes as components — into a cohesive user experience.",,,,,,,,,,,,,,,
Pipelines for infrastructure as code,deneyimle,teknikler,FALSE,The use of continuous delivery pipelines to orchestrate the release process for software has become a mainstream concept. However, automatically testing changes to infrastructure code isn’t as widely understood. Continuous integration (CI) and continuous delivery (CD) araçlar can be used to test server configuration (e.g., Chef cookbooks, Puppet modules, Ansible playbooks), server image building (e.g., Packer), environment provisioning (e.g., Terraform, CloudFormation) and integration of environments. The use of <strong>pipelines for infrastructure as code</strong> enables errors to be found before changes are applied to operational environments — including environments used for development and testing. They also offer a way to ensure that infrastructure tooling is run consistently, from CI/CD agents, as opposed to being run from individual workstations. Some challenges remain, however, such as the longer feedback loops associated with standing up containers and virtual machines. Still, we've found this to be a valuable technique.,
Polycloud,deneyimle,teknikler,FALSE,"Organizations are becoming more comfortable with the <strong>Polycloud</strong> strategy — rather than going ""all-in"" with one provider, they are passing different types of workloads to different providers based on their own strategy. Some of them apply the best-of-breed approach, for example: putting standard services on AWS, but using Google for machine learning and data-oriented applications and Azure for Microsoft Windows applications. For some organizations this is a cultural and business decision. Retail businesses, for example, often refuse to store their data on Amazon and they distribute load to different providers based on their data. This is different to a cloud-agnostic strategy of aiming for portability across providers, which is costly and forces lowest-common-denominator thinking. Polycloud instead focuses on using the best match that each cloud provider offers.",,,,,,,,,,,,,,,
Embedded mobile mocks,değerlendir,teknikler,TRUE,When developing mobile applications, our teams often find themselves without an external server for testing apps. Setting up an over-the-wire mock may be a good fit for this particular problem. Developing the HTTP mocks and compiling them into the mobile binary for testing — <strong>embedded mobile mocks</strong> — enables teams to test their mobile apps when disconnected and with no external dependencies. This technique may require creating an opinionated library based on both the networking library used by the mobile app and your usage of the underlying library.,,,,,,,,,,,,,,
Ethereum for decentralized applications,değerlendir,teknikler,FALSE,"Blockchains have been widely hyped as the panacea for all things fintech, from banking to digital currency to supply chain transparency. We’ve previously featured <a href=""/radar/platformlar/ethereum"">Ethereum</a> because of its feature set, which includes smart contracts. Now, we're seeing more development using <strong>Ethereum for decentralized applications</strong> in <a href=""http://www.stateofthedapps.com/"">other areas</a>. Although this is still a very young technology, we're encouraged to see it being used to build decentralized applications beyond cryptocurrency and banking.",,,,,,,,,,,,,,,
